run_sequence,candidate_id,model_alias,dimension,adventure_id,adventure_title,afao_benchmark_score,in_afhro_v0.4,afhro_v0.4_score,manifest_path
1,qwen-combat,qwen,Combat Emphasis,ADV-0277,The Wild Beyond the Witchlight,1,yes,1,experiments/phase5-raw-8to10/qwen-combat-adv0277-raw-v1.yml
2,qwen-social,qwen,Social Interaction Emphasis,ADV-0034,Tomb of Horrors,1,yes,1,experiments/phase5-raw-8to10/qwen-social-adv0034-raw-v1.yml
3,qwen-investigation,qwen,Investigation Emphasis,ADV-0034,Tomb of Horrors,1,yes,1,experiments/phase5-raw-8to10/qwen-investigation-adv0034-raw-v1.yml
4,qwen-puzzle,qwen,Puzzle / Problem-Solving Emphasis,ADV-0040,Expedition to the Barrier Peaks,1,yes,1,experiments/phase5-raw-8to10/qwen-puzzle-adv0040-raw-v1.yml
5,qwen-lethality,qwen,Lethality / Failure Severity,ADV-0278,Witchlight Carnival,1,no,,experiments/phase5-raw-8to10/qwen-lethality-adv0278-raw-v1.yml
6,qwen-structural-openness,qwen,Structural Openness,ADV-0200,Lake Monster,1,no,,experiments/phase5-raw-8to10/qwen-structural-openness-adv0200-raw-v1.yml
7,qwen-seriousness,qwen,Seriousness,ADV-0013,A Conspiracy Most Cracked,1,no,,experiments/phase5-raw-8to10/qwen-seriousness-adv0013-raw-v1.yml
8,qwen-darkness,qwen,Darkness / Horror Intensity,ADV-0062,No Honour Among Thieves,1,yes,1,experiments/phase5-raw-8to10/qwen-darkness-adv0062-raw-v1.yml
9,qwen-fantastic-weirdness,qwen,Fantastic Weirdness,ADV-0062,No Honour Among Thieves,1,yes,1,experiments/phase5-raw-8to10/qwen-fantastic-weirdness-adv0062-raw-v1.yml
10,qwen-player-beginner,qwen,Player Beginner Suitability,ADV-0034,Tomb of Horrors,1,yes,1,experiments/phase5-raw-8to10/qwen-player-beginner-adv0034-raw-v1.yml
11,qwen-gm-beginner,qwen,GM Beginner Suitability,ADV-0168,Blood Night,1,no,,experiments/phase5-raw-8to10/qwen-gm-beginner-adv0168-raw-v1.yml
12,nemotron-tactical,nemotron,Tactical Complexity,ADV-0278,Witchlight Carnival,1,no,,experiments/phase5-raw-8to10/nemotron-tactical-adv0278-raw-v1.yml
13,nemotron-cpa,nemotron,Consequential Player Agency,ADV-0031,White Plume Mountain,1,no,,experiments/phase5-raw-8to10/nemotron-cpa-adv0031-raw-v1.yml
14,nemotron-gm-prep,nemotron,GM Preparation Burden,ADV-0200,Lake Monster,1,no,,experiments/phase5-raw-8to10/nemotron-gm-prep-adv0200-raw-v1.yml
15,qwen-combat,qwen,Combat Emphasis,ADV-0032,Dead in Thay,5,no,,experiments/phase5-raw-8to10/qwen-combat-adv0032-raw-v1.yml
16,qwen-social,qwen,Social Interaction Emphasis,ADV-0229,Danger at Dunwater,5,no,,experiments/phase5-raw-8to10/qwen-social-adv0229-raw-v1.yml
17,qwen-investigation,qwen,Investigation Emphasis,ADV-0234,The Styes,5,no,,experiments/phase5-raw-8to10/qwen-investigation-adv0234-raw-v1.yml
18,qwen-puzzle,qwen,Puzzle / Problem-Solving Emphasis,ADV-0034,Tomb of Horrors,5,yes,5,experiments/phase5-raw-8to10/qwen-puzzle-adv0034-raw-v1.yml
19,qwen-lethality,qwen,Lethality / Failure Severity,ADV-0034,Tomb of Horrors,5,yes,5,experiments/phase5-raw-8to10/qwen-lethality-adv0034-raw-v1.yml
20,qwen-structural-openness,qwen,Structural Openness,ADV-0278,Witchlight Carnival,5,no,,experiments/phase5-raw-8to10/qwen-structural-openness-adv0278-raw-v1.yml
21,qwen-seriousness,qwen,Seriousness,ADV-0034,Tomb of Horrors,5,yes,5,experiments/phase5-raw-8to10/qwen-seriousness-adv0034-raw-v1.yml
22,qwen-darkness,qwen,Darkness / Horror Intensity,ADV-0287,House of Lament,5,yes,5,experiments/phase5-raw-8to10/qwen-darkness-adv0287-raw-v1.yml
23,qwen-fantastic-weirdness,qwen,Fantastic Weirdness,ADV-0040,Expedition to the Barrier Peaks,5,yes,5,experiments/phase5-raw-8to10/qwen-fantastic-weirdness-adv0040-raw-v1.yml
24,qwen-player-beginner,qwen,Player Beginner Suitability,ADV-0262,Lost Mine of Phandelver,5,yes,5,experiments/phase5-raw-8to10/qwen-player-beginner-adv0262-raw-v1.yml
25,qwen-gm-beginner,qwen,GM Beginner Suitability,ADV-0277,The Wild Beyond the Witchlight,5,yes,5,experiments/phase5-raw-8to10/qwen-gm-beginner-adv0277-raw-v1.yml
26,nemotron-tactical,nemotron,Tactical Complexity,ADV-0062,No Honour Among Thieves,5,yes,4,experiments/phase5-raw-8to10/nemotron-tactical-adv0062-raw-v1.yml
27,nemotron-cpa,nemotron,Consequential Player Agency,ADV-0277,The Wild Beyond the Witchlight,5,yes,5,experiments/phase5-raw-8to10/nemotron-cpa-adv0277-raw-v1.yml
28,nemotron-gm-prep,nemotron,GM Preparation Burden,ADV-0303,Storm King's Thunder,5,yes,5,experiments/phase5-raw-8to10/nemotron-gm-prep-adv0303-raw-v1.yml
29,qwen-combat,qwen,Combat Emphasis,ADV-0278,Witchlight Carnival,1,no,,experiments/phase5-raw-8to10/qwen-combat-adv0278-raw-v1.yml
30,qwen-combat,qwen,Combat Emphasis,ADV-0034,Tomb of Horrors,2,yes,2,experiments/phase5-raw-8to10/qwen-combat-adv0034-raw-v1.yml
31,qwen-combat,qwen,Combat Emphasis,ADV-0287,House of Lament,2,yes,2,experiments/phase5-raw-8to10/qwen-combat-adv0287-raw-v1.yml
32,qwen-combat,qwen,Combat Emphasis,ADV-0053,Call of the Wild,3,no,,experiments/phase5-raw-8to10/qwen-combat-adv0053-raw-v1.yml
33,qwen-combat,qwen,Combat Emphasis,ADV-0062,No Honour Among Thieves,3,yes,3,experiments/phase5-raw-8to10/qwen-combat-adv0062-raw-v1.yml
34,qwen-combat,qwen,Combat Emphasis,ADV-0040,Expedition to the Barrier Peaks,4,yes,4,experiments/phase5-raw-8to10/qwen-combat-adv0040-raw-v1.yml
35,qwen-combat,qwen,Combat Emphasis,ADV-0262,Lost Mine of Phandelver,4,yes,4,experiments/phase5-raw-8to10/qwen-combat-adv0262-raw-v1.yml
36,qwen-combat,qwen,Combat Emphasis,ADV-0033,Against the Giants,5,no,,experiments/phase5-raw-8to10/qwen-combat-adv0033-raw-v1.yml
37,qwen-social,qwen,Social Interaction Emphasis,ADV-0053,Call of the Wild,2,no,,experiments/phase5-raw-8to10/qwen-social-adv0053-raw-v1.yml
38,qwen-social,qwen,Social Interaction Emphasis,ADV-0062,No Honour Among Thieves,2,yes,2,experiments/phase5-raw-8to10/qwen-social-adv0062-raw-v1.yml
