case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
1,1,1,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0127-v1.yml
2,1,2,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0131-v1.yml
3,1,3,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0132-v1.yml
4,1,4,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0133-v1.yml
5,1,5,ADV-0134,Tears Fall,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0134-v1.yml
6,1,6,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0135-v1.yml
7,1,7,ADV-0136,Well of Lies,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0136-v1.yml
8,1,8,ADV-0137,The Raid on Noanar's Hold,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0137-v1.yml
9,1,9,ADV-0138,In for a Penny,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0138-v1.yml
10,1,10,ADV-0139,Hell Ship,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0139-v1.yml
11,1,11,ADV-0140,The Summerlight Ceremony,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0140-v1.yml
12,1,12,ADV-0141,The Vault of Velsharoon,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0141-v1.yml
13,1,13,ADV-0142,Dragon Orb,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0142-v1.yml
14,1,14,ADV-0143,Echoes of the Shaking Plague,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0143-v1.yml
15,1,15,ADV-0144,The Ashen Faithful,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0144-v1.yml
16,1,16,ADV-0146,The Flying Fortress,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0146-v1.yml
17,1,17,ADV-0147,The Foehammer Horn,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0147-v1.yml
18,1,18,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0148-v1.yml
19,1,19,ADV-0149,Mystery of Myth Rodarnum,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0149-v1.yml
20,1,20,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0150-v1.yml
21,1,21,ADV-0151,Dread March of the Bone Titan,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0151-v1.yml
22,1,22,ADV-0152,Heart of Fire,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0152-v1.yml
23,1,23,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0153-v1.yml
24,1,24,ADV-0156,The Cost of Warmth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0156-v1.yml
25,1,25,ADV-0157,Retaking the Terror,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0157-v1.yml
26,1,26,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0158-v1.yml
27,1,27,ADV-0159,What Wakes Below,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0159-v1.yml
28,1,28,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0162-v1.yml
29,1,29,ADV-0163,The Rushdown Well,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0163-v1.yml
30,1,30,ADV-0164,Message in a Bottle,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0164-v1.yml
31,1,31,ADV-0165,Wreck of the Silverhand,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0165-v1.yml
32,1,32,ADV-0166,The Treaty of Ostoria,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0166-v1.yml
33,1,33,ADV-0167,Tide of Teeth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0167-v1.yml
34,1,34,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0168-v1.yml
35,1,35,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0155-v1.yml
36,1,36,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0160-v1.yml
37,1,37,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0015-v1.yml
38,1,38,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0075-v1.yml
