case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
151,4,1,ADV-0003,The Disaster of the Gladden Fields,Trials of Saruman,Free League Publishing,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0003-v1.yml
152,4,2,ADV-0005,The Quest of Moria,Trials of Saruman,Free League Publishing,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0005-v1.yml
153,4,3,ADV-0007,"A Troll-hole, if Ever There Was One",Tales From Eriador,Free League Publishing,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0007-v1.yml
154,4,4,ADV-0008,Messing About in Boats,Tales From Eriador,Free League Publishing,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0008-v1.yml
155,4,5,ADV-0041,The Lost Book of Mektar,Labyrinth Adventures,Kobold Press,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0041-v1.yml
156,4,6,ADV-0048,Threading Rava's Needle,Labyrinth Adventures,Kobold Press,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0048-v1.yml
157,4,7,ADV-0083,Death House,Vecna: Eve of Ruin,Wizards of the Coast,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0083-v1.yml
158,4,8,ADV-0085,Tomb of Wayward Souls,Vecna: Eve of Ruin,Wizards of the Coast,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0085-v1.yml
159,4,9,ADV-0196,Party at Paliset Hall,Keys from the Golden Vault,Wizards of the Coast,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0196-v1.yml
160,4,10,ADV-0225,Auril's Abode,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0225-v1.yml
161,4,11,ADV-0331,Dweomercore,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,18,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0331-v1.yml
162,4,12,ADV-0047,A Clockwork Mind,Labyrinth Adventures,Kobold Press,19,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0047-v1.yml
163,4,13,ADV-0051,Maze Runner,Labyrinth Adventures,Kobold Press,19,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0051-v1.yml
164,4,14,ADV-0117,The Forbidden Vale,Dragon Delves,Wizards of the Coast,19,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0117-v1.yml
165,4,15,ADV-0001,The Beast of Dunland,Trials of Saruman,Free League Publishing,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0001-v1.yml
166,4,16,ADV-0052,What Dwells Beneath,Labyrinth Adventures,Kobold Press,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0052-v1.yml
167,4,17,ADV-0079,Return from Neverdeath Graveyard,Vecna: Eve of Ruin,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0079-v1.yml
168,4,18,ADV-0080,The Wizards Three,Vecna: Eve of Ruin,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0080-v1.yml
169,4,19,ADV-0082,The Ruined Colossus,Vecna: Eve of Ruin,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0082-v1.yml
170,4,20,ADV-0084,Night of Blue Fire,Vecna: Eve of Ruin,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0084-v1.yml
171,4,21,ADV-0086,The Dragon Queen's Pride,Vecna: Eve of Ruin,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0086-v1.yml
172,4,22,ADV-0315,Forge of the Fire Giants,Storm King's Thunder,Wizards of the Coast,20,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0315-v1.yml
173,4,23,ADV-0285,Motherhorn,The Wild Beyond the Witchlight,Wizards of the Coast,21,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0285-v1.yml
174,4,24,ADV-0004,There Let Them Lie Until the End,Trials of Saruman,Free League Publishing,22,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0004-v1.yml
175,4,25,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0234-v1.yml
176,4,26,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0229-v1.yml
177,4,27,ADV-0038,Pharaoh,Quests from the Infinite Staircase,Wizards of the Coast,26,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0038-v1.yml
178,4,28,ADV-0245,City of Lost Names,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,26,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0245-v1.yml
179,4,29,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0248-v1.yml
180,4,30,ADV-0254,Hunt for Mage Tower,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,27,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0254-v1.yml
181,4,31,ADV-0029,The Forge of Fury,Tales from the Yawning Portal,Wizards of the Coast,28,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0029-v1.yml
182,4,32,ADV-0055,Under the Black Mountains,Hunter's Full Moon Trilogy,Midnight Tower,28,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0055-v1.yml
183,4,33,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0232-v1.yml
184,4,34,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0227-v1.yml
185,4,35,ADV-0030,The Hidden Shrine of Tamoachan,Tales from the Yawning Portal,Wizards of the Coast,34,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0030-v1.yml
186,4,36,ADV-0059,The Frozen Labyrinth,Rise of the Ice Dragons Trilogy,Midnight Tower,34,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0059-v1.yml
187,4,37,ADV-0056,Troubles in Winterhold,Secrets of the Drow Trilogy,Midnight Tower,40,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0056-v1.yml
188,4,38,ADV-0060,The Quest for the Last Orbstone,Rise of the Ice Dragons Trilogy,Midnight Tower,44,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0060-v1.yml
189,4,39,ADV-0063,"Sea Monsters Ahead, Captain!",The Prophecy of Nine Omens Trilogy,Midnight Tower,44,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0063-v1.yml
190,4,40,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0033-v1.yml
