matrix_index,run_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,action,existing_score,profile,manifest_path
1,1,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0278-v1.yml
2,2,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0278-v1.yml
3,3,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0200-v1.yml
4,4,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0200-v1.yml
5,5,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0230-v1.yml
6,6,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0230-v1.yml
7,7,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0031-v1.yml
8,8,ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0031-v1.yml
9,,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Social Interaction Emphasis,SKIP_ACCEPTED_AFAO,4,phase6-v0.3,
10,9,ADV-0257,The Magister's Masquerade,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,31,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0257-v1.yml
11,10,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0288-v1.yml
12,11,ADV-0288,A Friend in Need,Waterdeep: Dragon Heist,Wizards of the Coast,10,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0288-v1.yml
13,12,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0092-v1.yml
14,13,ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0092-v1.yml
15,14,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0232-v1.yml
16,15,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0232-v1.yml
17,16,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0223-v1.yml
18,17,ADV-0223,Sunblight,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,15,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0223-v1.yml
19,18,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0189-v1.yml
20,19,ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0189-v1.yml
21,20,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0248-v1.yml
22,21,ADV-0248,Siege of Kalaman,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,27,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0248-v1.yml
23,22,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0227-v1.yml
24,23,ADV-0227,Doom of Ythryn,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,30,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0227-v1.yml
25,24,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0335-v1.yml
26,25,ADV-0335,Trobriand's Graveyard,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,8,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0335-v1.yml
27,26,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0032-v1.yml
28,27,ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0032-v1.yml
29,28,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0337-v1.yml
30,29,ADV-0337,Obstacle Course,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,16,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0337-v1.yml
31,30,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0345-v1.yml
32,31,ADV-0345,Mad Wizard's Lair,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0345-v1.yml
33,32,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0234-v1.yml
34,,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Investigation Emphasis,SKIP_ACCEPTED_AFAO,5,phase6-v0.4,
35,,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Social Interaction Emphasis,SKIP_ACCEPTED_AFAO,5,phase6-v0.3,
36,33,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0229-v1.yml
37,34,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0323-v1.yml
38,35,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0323-v1.yml
39,36,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0168-v1.yml
40,37,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0168-v1.yml
41,38,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0132-v1.yml
42,39,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0132-v1.yml
43,40,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0150-v1.yml
44,41,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0150-v1.yml
