global_sequence,dimension,pilot_sequence,manifest,model_alias,ollama_model,adventure_id,adventure_title,oracle_score,prompt_profile,profile_env_name,replicates,role,stop_type
1,Social Interaction Emphasis,1,experiments/phase6/phase6-remediation-social-interaction-adv0287-primary-kill-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0287,The House of Lament,3,phase6-v0.3,AF_SOCIAL_INTERACTION_GUARDRAIL_PROFILE,1,primary-kill-test,house-hard-error-gate
2,Social Interaction Emphasis,2,experiments/phase6/phase6-remediation-social-interaction-adv0257-upper-boundary-diagnostic-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0257,The Magister's Masquerade,4,phase6-v0.3,AF_SOCIAL_INTERACTION_GUARDRAIL_PROFILE,1,upper-boundary-diagnostic,upper-diagnostic-gate
3,Social Interaction Emphasis,3,experiments/phase6/phase6-remediation-social-interaction-adv0229-upper-end-diagnostic-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0229,Danger at Dunwater,5,phase6-v0.3,AF_SOCIAL_INTERACTION_GUARDRAIL_PROFILE,1,upper-end-diagnostic,upper-diagnostic-checkpoint
4,Social Interaction Emphasis,4,experiments/phase6/phase6-remediation-social-interaction-adv0034-score1-anti-inflation-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0034,Tomb of Horrors,1,phase6-v0.3,AF_SOCIAL_INTERACTION_GUARDRAIL_PROFILE,1,score1-anti-inflation-control,control-hard-error-gate
5,Social Interaction Emphasis,5,experiments/phase6/phase6-remediation-social-interaction-adv0053-score2-anti-inflation-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0053,Call of the Wild,2,phase6-v0.3,AF_SOCIAL_INTERACTION_GUARDRAIL_PROFILE,1,score2-anti-inflation-control,final-social-classification
6,Investigation Emphasis,1,experiments/phase6/phase6-remediation-investigation-adv0034-minimal-kill-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0034,Tomb of Horrors,1,phase6-v0.4,AF_INVESTIGATION_GUARDRAIL_PROFILE,1,minimal-kill-test,exact-or-stop
7,Investigation Emphasis,2,experiments/phase6/phase6-remediation-investigation-adv0062-minimal-second-morphology-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0062,No Honour Among Thieves,1,phase6-v0.4,AF_INVESTIGATION_GUARDRAIL_PROFILE,1,minimal-second-morphology,exact-or-stop
8,Investigation Emphasis,3,experiments/phase6/phase6-remediation-investigation-adv0040-low-anti-overcorrection-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0040,Expedition to the Barrier Peaks,2,phase6-v0.4,AF_INVESTIGATION_GUARDRAIL_PROFILE,1,low-anti-overcorrection-control,exact-or-stop
9,Investigation Emphasis,4,experiments/phase6/phase6-remediation-investigation-adv0287-high-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0287,The House of Lament,4,phase6-v0.4,AF_INVESTIGATION_GUARDRAIL_PROFILE,1,high-control,exact-or-stop
10,Investigation Emphasis,5,experiments/phase6/phase6-remediation-investigation-adv0234-very-high-endpoint-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0234,The Styes,5,phase6-v0.4,AF_INVESTIGATION_GUARDRAIL_PROFILE,1,very-high-endpoint,final-exact-gate
11,Lethality / Failure Severity,1,experiments/phase6/phase6-remediation-lethality-adv0277-score2-compression-kill-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0277,The Wild Beyond the Witchlight,2,phase6-v0.2,AF_LETHALITY_GUARDRAIL_PROFILE,1,score2-compression-kill-test,exact-or-stop
12,Lethality / Failure Severity,2,experiments/phase6/phase6-remediation-lethality-adv0062-score3-compression-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0062,No Honour Among Thieves,3,phase6-v0.2,AF_LETHALITY_GUARDRAIL_PROFILE,1,score3-compression-test,exact-or-stop
13,Lethality / Failure Severity,3,experiments/phase6/phase6-remediation-lethality-adv0287-score4-compression-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0287,The House of Lament,4,phase6-v0.2,AF_LETHALITY_GUARDRAIL_PROFILE,1,score4-compression-test,exact-or-stop
