adventure_id,adventure_title,source_book,publisher,page_count,decision,reason
ADV-0001,The Beast of Dunland,Trials of Saruman,Free League Publishing,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0002,The Sea-prince of the Shore,Trials of Saruman,Free League Publishing,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0003,The Disaster of the Gladden Fields,Trials of Saruman,Free League Publishing,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0004,There Let Them Lie Until the End,Trials of Saruman,Free League Publishing,22,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0005,The Quest of Moria,Trials of Saruman,Free League Publishing,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0006,The Ithil-stone,Trials of Saruman,Free League Publishing,27,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0007,"A Troll-hole, if Ever There Was One",Tales From Eriador,Free League Publishing,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0008,Messing About in Boats,Tales From Eriador,Free League Publishing,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0009,Kings of Little Kingdoms,Tales From Eriador,Free League Publishing,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0010,Not To Strike Without Need,Tales From Eriador,Free League Publishing,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0011,Wonder of the Northern World,Tales From Eriador,Free League Publishing,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0012,The Quest of Amon Guruthos,Tales From Eriador,Free League Publishing,22,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0016,Involuntary Postmen,Shire Adventures,Free League Publishing,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0017,To Soothe a Savage Beast,Shire Adventures,Free League Publishing,7,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0018,Hold My Beer,The Game Master's Book of Legendary Dragons,Media Lab Books,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0019,Dragon Hunt,The Game Master's Book of Legendary Dragons,Media Lab Books,24,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0021,"Baldur's Gate, Southwest District",Heroes of Baldur's Gate,Arcanum Worlds,13,SELECT,blank_nos_under_100_source_preflight_pass
